TABLE_NAME,TABLE_KOR_NM,COLUMN_NAME,COLUMN_KOR_NAME
DPDEP_MACCT_P,수신계좌기본스냅샷,BASE_DT,기준일자
DPDEP_MACCT_P,수신계좌기본스냅샷,CSTNO,고객번호
DPDEP_MACCT_P,수신계좌기본스냅샷,CUST_NM,고객명
DPDEP_MACCT_P,수신계좌기본스냅샷,EMAIL_ADDR,이메일주소
DPDEP_MACCT_P,수신계좌기본스냅샷,CHNG_DVCD,변경코드
DPDEP_MACCT_P,수신계좌기본스냅샷,ACNO,계좌번호
DPDEP_MACCT_P,수신계좌기본스냅샷,LAST_CHNG_DT,최종변경일자
DPDEP_MACCT_P,수신계좌기본스냅샷,FRST_CHNG_DT,최초변경일자
DPDEP_MACCT_P,수신계좌기본스냅샷,REG_DT,등록일자
DOPCU_CUSMT_P,사용자기본스냅샷,BASE_DT,기준일자
DOPCU_CUSMT_P,사용자기본스냅샷,CSTNO,고객번호
DOPCU_CUSMT_P,사용자기본스냅샷,DTH_YN,사망여부
DOPCU_CUSMT_P,사용자기본스냅샷,BRDD,생년월일
DOPCU_CUSMT_P,사용자기본스냅샷,TELNO,휴대전화번호
DOPCU_CUSMT_P,사용자기본스냅샷,FILE_NM,파일명
